app_name,posted_year,recommend
Team Fortress 2,2014.0,2852
Unturned,2014.0,2515
Rust,2014.0,2100
Team Fortress 2,2013.0,1474
Garry's Mod,2014.0,1356
Counter-Strike: Global Offensive,2015.0,1349
DayZ,2014.0,1332
Unturned,2015.0,1265
Team Fortress 2,2015.0,1190
Counter-Strike: Global Offensive,2014.0,954
Terraria,2014.0,896
Rust,2015.0,894
Loadout,2014.0,816
Terraria,2015.0,732
ARK: Survival Evolved,2015.0,710
Robocraft,2014.0,702
Starbound,2014.0,625
Garry's Mod,2015.0,620
Garry's Mod,2013.0,612
Emily is Away,2015.0,570
Terraria,2013.0,568
Borderlands 2,2014.0,550
Goat Simulator,2014.0,537
Trove,2015.0,534
Robocraft,2015.0,528
The Forest,2014.0,510
Team Fortress 2,2012.0,480
Rocket League®,2015.0,476
Starbound,2013.0,450
Warframe,2014.0,438
Clicker Heroes,2015.0,420
Castle Crashers®,2014.0,405
PlanetSide 2,2014.0,402
Grand Theft Auto V,2015.0,396
The Binding of Isaac,2014.0,388
Realm of the Mad God,2014.0,365
Spiral Knights,2014.0,336
No More Room in Hell,2014.0,327
DayZ,2015.0,308
BattleBlock Theater®,2014.0,304
Heroes & Generals,2015.0,296
Awesomenauts - the 2D moba,2014.0,276
ORION: Prelude,2014.0,272
Left 4 Dead 2,2014.0,272
AdVenture Capitalist,2015.0,264
Starbound,2015.0,255
Portal 2,2014.0,254
Rust,2013.0,252
DayZ,2013.0,252
Insurgency,2014.0,249
Warframe,2015.0,248
Heroes & Generals,2014.0,240
Arma 3,2014.0,240
PlanetSide 2,2013.0,234
No More Room in Hell,2013.0,228
Castle Crashers®,2015.0,220
Arma 3,2015.0,219
Left 4 Dead 2,2013.0,217
Don't Starve Together,2015.0,216
Insurgency,2015.0,213
Life is Strange - Episode 1,2015.0,210
Spiral Knights,2013.0,210
Undertale,2015.0,202
SpeedRunners,2015.0,200
Fistful of Frags,2014.0,198
FTL: Faster Than Light,2014.0,189
Warframe,2013.0,178
Besiege,2015.0,177
Dirty Bomb®,2015.0,174
The Escapists,2015.0,170
Stranded Deep,2015.0,165
BattleBlock Theater®,2015.0,164
Counter-Strike: Global Offensive,2013.0,164
Borderlands 2,2015.0,162
The Forest,2015.0,160
Guns of Icarus Online,2014.0,160
Torchlight II,2014.0,160
Borderlands 2,2013.0,158
South Park™: The Stick of Truth™,2014.0,156
Mount & Blade: Warband,2014.0,156
Reign Of Kings,2015.0,155
Realm of the Mad God,2015.0,155
AirMech Strike,2014.0,155
PlanetSide 2,2015.0,153
Saints Row IV,2014.0,152
TERA,2015.0,150
Toribash,2014.0,148
Sid Meier's Civilization® V,2014.0,147
The Plan,2014.0,147
DC Universe™ Online,2014.0,145
Terraria,2012.0,144
The Binding of Isaac,2013.0,144
Team Fortress 2,2011.0,142
Risk of Rain,2014.0,141
Portal 2,2015.0,140
Just Cause 2,2014.0,136
Game Dev Tycoon,2014.0,136
Monaco: What's Yours Is Mine,2014.0,135
Portal 2,2013.0,134
HuniePop,2015.0,132
State of Decay,2014.0,132
Prison Architect,2015.0,132
Dungeon Defenders II,2015.0,130
Verdun,2015.0,126
Nether: Resurrected,2014.0,125
Killing Floor,2014.0,123
Super Hexagon,2014.0,122
Kerbal Space Program,2014.0,122
BioShock Infinite,2014.0,120
SpeedRunners,2014.0,120
Fallout 4,2015.0,119
Chivalry: Medieval Warfare,2014.0,118
No More Room in Hell,2015.0,117
Broforce,2014.0,116
ORION: Prelude,2015.0,116
Tomb Raider,2014.0,116
Far Cry 3,2014.0,116
Awesomenauts - the 2D moba,2013.0,116
Magicite,2014.0,116
Fallout: New Vegas,2014.0,116
Fallout: New Vegas,2015.0,114
Broforce,2015.0,112
Saints Row IV,2015.0,110
APB Reloaded,2014.0,108
Dying Light,2015.0,108
Surgeon Simulator,2014.0,108
Chivalry: Medieval Warfare,2013.0,106
Cities: Skylines,2015.0,106
Middle-earth™: Shadow of Mordor™,2014.0,106
Outlast,2014.0,105
Prison Architect,2014.0,105
Project Zomboid,2014.0,104
Left 4 Dead 2,2015.0,103
Hotline Miami,2014.0,102
